x,y,frame,year,month,day,hour,radius,max_vort,mean_vort,mean_vort_850,mean_vort_700,mean_vort_500,max_trunc_vort,track_id,mean_u200,mean_u850,mean_skt,mean_land_frac,mcz_tcwv,vortex_depth,over_land,dvo850_dt,acc_land_time,total_land_time,qshear_850,ushear_850,mean_cape,mcz_cape,mean_dthetae_dp_900_750,mean_dthetae_dp_750_500,mean_land_skt,mean_sst,mean_swvl1_grad,mean_swvl2_grad,mean_swvl1,mean_swvl2,olr_90,olr_75,olr_50,qshear_850_background,ushear_850_background,mean_q_850,orography_height,peak_vorticity,reached_peak,mean_prcp_400,mean_prcp_800,max_prcp_400,max_prcp_800,mean_vimfd_400,mean_v200,mean_v500,mean_v850,mean_u500,zonal_speed,merid_speed,mean_prcp_imerg
83.5,19.5,4207,1979,6,25,6,4,31.33364487,6.822943211,7.168132782,6.477754593,5.265278816,5.587659359,6761,-14.32765865,8.328794479,301.6719971,0.7,62.50748825,0.663794701,1,-0.464246273,18,36,0.00388588,-29.08736,390.5878318,747.1190216,0.023320573,0.01170179,301.3247,303.04947,2.91E-07,3.14E-07,0.3313749,0.31421736,-278.2522262,-271.6738499,-248.3159942,0.003690154,-13.46297,0.01571789,468.4456334,6.09468317,1,1.103090137,0.579889671,12.46145905,12.46145905,-29.22477417,-1.634319305,4.297899246,1.267691135,0.066436522,-10.89929224,4.625,
82.75,20,4213,1979,6,25,12,4,33.77868652,5.991832733,6.27119875,5.712466717,3.98329854,5.031629086,6761,-14.81173134,6.4220891,299.6669617,0.84,63.753582,0.578582655,1,-0.450928926,24,36,0.003889868,-25.874817,325.222232,716.5606807,0.032205882,0.013060235,299.6332,303.04593,3.40E-07,3.50E-07,0.31934398,0.30642778,-280.5311772,-273.706729,-255.0196848,0.004051316,-12.328222,0.016285485,257.1924043,6.09468317,1,0.669374789,0.442766638,6.484080922,14.04142697,-18.82875583,-1.15731585,0.274504751,1.535142541,-0.848974764,-15.2112743,6.9375,
81.75,20.25,4219,1979,6,25,18,4.25,41.98545837,5.357338428,5.534362793,5.180314064,4.259580612,4.685801506,6761,-11.78099251,9.556071281,298.0556641,0.93,64.25627136,0.720423187,1,-0.415114403,30,36,0.004508381,-27.92361,182.9541838,431.0076722,0.041839226,0.017731487,298.0426,302.92233,3.00E-07,2.95E-07,0.3182686,0.30677843,-269.8199554,-264.8650976,-243.3970852,0.003338424,-12.045875,0.016539756,503.6391901,6.09468317,1,0.720086809,0.487466163,11.71564171,11.71564171,-13.3890172,-2.494648695,1.035923362,0.928438485,-1.929885983,-10.84783732,6.9375,
81.5,20.75,4225,1979,6,26,0,4.25,27.80456161,4.701875687,4.742290497,4.661461353,3.737879753,4.20140028,6761,-10.45967007,7.202083588,297.3819885,0.96,63.25094223,0.774766986,1,-0.484401226,36,36,0.004154243,-30.589897,165.359513,325.3597947,0.025040125,0.022850078,297.5547,302.88263,2.77E-07,2.82E-07,0.31359485,0.30092257,-272.7895284,-263.1980356,-250.3741892,0.003110789,-12.267334,0.016279174,333.0009793,6.09468317,1,0.552600842,0.501549536,8.677851657,19.9882282,-7.998414897,-3.155472994,0.774455726,1.203820467,-1.707144737,-4.325000345,9.25,
92,18.25,4441,1979,7,5,0,4.5,73.03125,2.732930422,2.671380997,2.794480085,3.16168189,2.51203084,7260,-11.31482315,7.801856518,300.9443359,0.2,43.83305359,1.238076631,0,0.198945761,0,12,0.002501657,-15.611706,2041.665371,225.6207467,0.056262959,0.000849684,296.5031,302.42984,5.25E-07,4.86E-07,0.3839813,0.38196564,-265.6870172,-238.1962707,-204.7972989,0.003863164,-10.80083,0.014454907,0.637808462,4.684137344,0,1.266551335,0.603874935,17.29121403,17.29121403,-39.01122246,0.307444692,-1.495110273,-0.972660661,1.129459262,4.392358459,9.25,
92.25,18.75,4447,1979,7,5,6,4,41.28252792,3.373816013,3.592609882,3.155021667,2.796607256,2.710976601,7260,-11.24715328,6.06700182,301.5732117,0.2,43.67315292,0.683618341,0,0.268999338,0,12,0.002095292,-17.16341,1228.595501,345.4728073,0.048955626,-0.02565855,300.2753,302.4382,2.96E-07,2.72E-07,0.36984885,0.36927038,-263.6495887,-233.8177027,-182.6493835,0.004080996,-11.054547,0.014207325,-1.843199449,4.684137344,0,0.848661443,0.52694598,7.121851655,9.627996772,-27.40933146,0.949013472,-0.456008881,-3.448775291,2.206246376,2.189775924,0,
92.25,18.25,4453,1979,7,5,12,3.75,20.3516407,4.266172886,4.151868343,4.380476952,3.478506088,3.050029516,7260,-13.49986458,4.077757359,301.3264465,0.2,45.00405502,0.883948617,0,0.030308366,0,12,0.003428105,-16.151129,995.2617734,306.0168973,0.047465061,-0.016378325,297.8698,302.4035,2.95E-07,3.05E-07,0.37328836,0.37431768,-263.7532047,-223.2895791,-198.9689001,0.004511929,-10.130898,0.013980217,-0.648640084,4.684137344,0,0.499468204,0.3762704,13.8551997,32.83828429,-5.936912629,1.256670952,-1.063203931,-1.11136508,2.32399106,-4.392358459,-4.625,
91.75,18.25,4459,1979,7,5,18,4,20.6049614,3.59072566,3.184824467,3.996627092,4.135203362,2.771593332,7260,-15.15273666,5.451876163,301.2818604,0.12,48.04883575,1.629369184,0,0.201714158,0,12,0.004364861,-16.520626,1701.501667,272.665579,0.05025539,-0.006271409,296.0586,302.44534,3.91E-07,3.88E-07,0.36739296,0.36971548,-272.5647921,-244.2440605,-214.7676936,0.004506731,-9.826568,0.013832749,-0.648640084,4.684137344,0,0.837952627,0.534171935,10.34135272,10.34135272,-21.68064024,1.267021894,-1.250867486,-0.877235711,1.03920269,-13.17707538,4.625,
90.75,18.75,4465,1979,7,6,0,3.75,59.91229248,4.382902145,4.191174984,4.574629784,4.108521938,3.453457832,7260,-15.67724323,4.99067831,301.6691895,0.09,48.6159935,1.069965999,0,0.44033134,0,12,0.002468752,-17.251251,1395.22576,280.0523358,0.053712593,-0.002574353,296.50845,302.47412,5.33E-07,4.97E-07,0.3572407,0.35419485,-271.705731,-239.2628281,-195.1203066,0.00403613,-10.19641,0.014384827,0.454030098,4.684137344,0,1.191625049,0.663386081,7.785572809,7.785572809,-35.64683273,1.801172972,-1.230359674,-2.59934473,-0.336280376,-6.569327773,2.3125,
91,18.5,4471,1979,7,6,6,3.75,47.56604004,4.983274937,5.062326908,4.904222965,4.257616043,3.652256012,7260,-16.17675591,4.607208252,302.5466309,0.09,49.36578751,0.814772432,0,0.164907217,0,12,0.003125687,-18.528982,905.2291532,483.4845045,0.027053659,0.004568337,304.54904,302.4402,3.55E-07,3.52E-07,0.35338005,0.35088992,-273.7727641,-222.8693,-181.4334817,0.004279001,-10.167497,0.013840671,0.086473371,4.684137344,0,0.779697633,0.578408162,4.303716371,6.069956688,-28.159098,1.132900119,0.885323882,-3.00913167,-1.304519653,2.192998453,-4.625,
